Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
629,52.523793,6.0905608,Service Point,ISN Ulu Zwolle,Textile Container,Textile Collection,JoBa,2.909,250
628,51.5638712,4.657022,Service Point,Hockeyclub Etten-Leur,Textile Container,Textile Collection,JoBa,2.909,250
626,52.0991232,4.5949071,Service Point,PCB Johannes Post,Textile Container,Textile Collection,JoBa,2.909,250
621,52.0257754,5.5668935,Service Point,ISN Ihlas Veenendaal,Textile Container,Textile Collection,JoBa,2.909,250
620,52.0257754,5.5668935,Service Point,ISN Ihlas Veenendaal,Textile Container,Textile Collection,JoBa,2.909,250
614,52.1421415,6.1994413,Service Point,ISN Barbaros Zutphen,Textile Container,Textile Collection,JoBa,2.909,250
613,51.4647129,5.4304738,Service Point,Internationale School Eindhoven,Textile Container,Textile Collection,JoBa,2.909,250
611,52.1421415,6.1994413,Service Point,ISN Barbaros Zutphen,Textile Container,Textile Collection,JoBa,2.909,250
610,51.9752741,4.8215306,Service Point,Krimpenerwaard - Julianaplein 4,Textile Container,Textile Collection,JoBa,2.909,250
608,52.3338077,4.6515107,Service Point,Stichting Sein Cruquius,Textile Container,Textile Collection,JoBa,2.909,250
607,52.1155298,4.8362011,Service Point,Coop Bremmer,Textile Container,Textile Collection,JoBa,2.909,250
606,52.1362884,5.2086481,Service Point,Van Dijckschool,Textile Container,Textile Collection,JoBa,2.909,250
604,51.9512652,4.8448678,Service Point,Krimpenerwaard - Albert Plesmanstraat 4,Textile Container,Textile Collection,JoBa,2.909,250
603,51.9512652,4.8448678,Service Point,Krimpenerwaard - Albert Plesmanstraat 4,Textile Container,Textile Collection,JoBa,2.909,250
602,51.9512652,4.8448678,Service Point,Krimpenerwaard - Albert Plesmanstraat 4,Textile Container,Textile Collection,JoBa,2.909,250
526,51.98647339999999,4.5196176,Service Point,Milieustraat Lansingerland,Textile Container,Textile Collection,JoBa,2.909,250
525,51.98647339999999,4.5196176,Service Point,Milieustraat Lansingerland,Textile Container,Textile Collection,JoBa,2.909,250
524,51.98647339999999,4.5196176,Service Point,Milieustraat Lansingerland,Textile Container,Textile Collection,JoBa,2.909,250
523,51.98647339999999,4.5196176,Service Point,Milieustraat Lansingerland,Textile Container,Textile Collection,JoBa,2.909,250
472,52.0543737,4.692503,Service Point,Dorpsschool De Bron,Textile Container,Textile Collection,JoBa,2.909,250
471,51.8659993,4.4666119,Service Point,Transvalia ZW,Textile Container,Textile Collection,JoBa,2.909,250
470,51.9682355,4.4843116,Service Point,Hockey Club Rotterdam,Textile Container,Textile Collection,JoBa,2.909,250
469,51.9682355,4.4843116,Service Point,Hockey Club Rotterdam,Textile Container,Textile Collection,JoBa,2.909,250
468,51.9316332,4.4316748,Service Point,Laurens den Hoogenban Rotterdam,Textile Container,Textile Collection,JoBa,2.909,250
466,52.0534431,4.6549889,Service Point,IKC Kleurrijk,Textile Container,Textile Collection,JoBa,2.909,250
465,52.062602,4.398147,Service Point,Landzigt,Textile Container,Textile Collection,MCB special,3.25,300
464,52.0869157,4.358740399999999,Service Point,De Reigershof,Textile Container,Textile Collection,MCB special,3.25,300
463,52.0587227,4.279637,Service Point,De Herweijerhoeve,Textile Container,Textile Collection,MCB special,3.25,300
462,52.0505322,4.2790191,Service Point,Tamarschool,Textile Container,Textile Collection,JoBa,2.909,250
461,52.0619288,4.247005300000001,Service Point,Koos Meindersschool,Textile Container,Textile Collection,JoBa,2.909,250
460,52.0699368,4.2663972,Service Point,De Gagelhoeve,Textile Container,Textile Collection,MCB special,3.25,300
459,52.068322,4.295066,Service Point,De Woelige Stal,Textile Container,Textile Collection,MCB special,3.25,300
458,52.0122974,4.3420854,Service Point,Widar,Textile Container,Textile Collection,JoBa,2.909,250
456,51.9297384,4.504974,Service Point,ISN Ulu Rotterdam,Textile Container,Textile Collection,JoBa,2.909,250
455,52.1442878,4.4135417,Service Point,Sint Jan Baptist,Textile Container,Textile Collection,JoBa,2.909,250
454,52.2955391,4.5842111,Service Point,Savioschool,Textile Container,Textile Collection,JoBa,2.909,250
452,52.4971566,4.6680592,Service Point,De Sterrekijker,Textile Container,Textile Collection,JoBa,2.909,250
451,51.88397320000001,4.5664106,Service Point,RET Beverwaard,Textile Container,Textile Collection,JoBa,2.909,250
449,51.9447079,4.466904899999999,Service Point,RET Kleiweg,Textile Container,Textile Collection,JoBa,2.909,250
448,51.92071809999999,4.5470511,Service Point,RET 's Gravenweg,Textile Container,Textile Collection,JoBa,2.909,250
447,51.9649935,4.5456139,Service Point,Fridtjof Nansen,Textile Container,Textile Collection,JoBa,2.909,250
446,52.00859087825121,4.592824695717544,Service Point,Kindcentrum Koningskwartier,Textile Container,Textile Collection,JoBa,2.909,250
444,52.055591,4.6541736,Service Point,ISN Anadolu Waddinxveen,Textile Container,Textile Collection,JoBa,2.909,250
443,52.0663529,4.5186324,Service Point,IKC De Triangel,Textile Container,Textile Collection,JoBa,2.909,250
442,52.0515756,4.5018787,Service Point,ISN Oranje Kultur Merkezi Zoetermeer,Textile Container,Textile Collection,JoBa,2.909,250
