Service Point Name,Operations,Latitude,Longitude,Address,Location Details,total_capacity_kg,Service Point_x,total_kg,avg_kg,total_bags,avg_bags,Service Point_y,tasks_per_week,weekly_fill_pct,avg_fill_pct,container_count
Gereformeerde Kerk Woubrugge,Textile Collection,52.1699021,4.6383971,"PKN Gereformeerd, van Hemessenkade, Woubrugge, Kaag en Braassem, South Holland, Netherlands, 2481 BH, Netherlands",Gereformeerde Kerk Woubrugge,250.0,Gereformeerde Kerk Woubrugge,10331.74,141.53068493150684,1863.0,24.84,Gereformeerde Kerk Woubrugge,1.9437148217636024,1.0,0.5661227397260273,1
Sint Jan Baptist,Textile Collection,52.1442878,4.4135417,"Basisschool St. Jan Baptist, Violierenweg, Deijleroord, Wassenaar, South Holland, Netherlands, 2241 XP, Netherlands",Sint Jan Baptist,250.0,Sint Jan Baptist,7543.77,121.67370967741937,1611.0,25.983870967741936,Sint Jan Baptist,1.628517823639775,1.0,0.48669483870967745,1
IKC Kleurrijk,Textile Collection,52.0534431,4.6549889,"Kleurrijk, 3, Jacob Catslaan, Vondelwijk, Waddinxveen, South Holland, Netherlands, 2741 XL, Netherlands",IKC Kleurrijk,250.0,IKC Kleurrijk,2838.23,81.09228571428571,591.0,16.885714285714286,IKC Kleurrijk,0.9193245778611633,1.0,0.32436914285714286,1
ISN Anadolu Waddinxveen,Textile Collection,52.055591,4.6541736,"Lokale Omroep Waddinveen, Staringlaan, Vondelwijk, Waddinxveen, South Holland, Netherlands, 2741 XX, Netherlands",ISN Anadolu Waddinxveen,250.0,ISN Anadolu Waddinxveen,5216.93,137.28763157894738,1117.0,27.925,ISN Anadolu Waddinxveen,1.024390243902439,1.0,0.5491505263157895,1
Archipelschool De Omnibus,Textile Collection,51.4624928,3.5719734,"3, Slangenburg, Bossenburgh, Lammerenburg, Vlissingen, Zeeland, Netherlands, 4385 HT, Netherlands",Archipelschool De Omnibus,250.0,Archipelschool De Omnibus,4245.49,114.74297297297296,890.0,24.054054054054053,Archipelschool De Omnibus,0.9718574108818012,1.0,0.45897189189189186,1
Kindcentrum de Ark | Baarnhoeve,Textile Collection,51.9390303,4.3542995,"Kunst BSO de Ark, 4, Baarnhoeve, Hoevenbuurt, Vlaardingen, South Holland, Netherlands, 3137 RL, Netherlands",Kindcentrum de Ark | Baarnhoeve,250.0,Kindcentrum de Ark | Baarnhoeve,6553.08,85.10493506493506,1398.0,18.155844155844157,Kindcentrum de Ark | Baarnhoeve,2.0225140712945593,1.0,0.34041974025974026,1
Kindcentrum de Ark |Lissabonweg,Textile Collection,51.9351449,4.3508032,"Basisschool De Ark, Lissabonweg, Hoofdstedenbuurt, Vlaardingen, South Holland, Netherlands, 3137 LR, Netherlands",Kindcentrum de Ark |Lissabonweg,250.0,Kindcentrum de Ark |Lissabonweg,6405.81,84.28697368421054,1350.0,17.763157894736842,Kindcentrum de Ark |Lissabonweg,1.9962476547842403,1.0,0.33714789473684215,1
CBS Het Anker,Textile Collection,51.934629,4.3383936,"5, Glidkruid, Kruidenbuurt, Vlaardingen, South Holland, Netherlands, 3137 WG, Netherlands",CBS Het Anker,250.0,CBS Het Anker,7399.08,96.09194805194805,1559.0,20.246753246753247,CBS Het Anker,2.0225140712945593,1.0,0.3843677922077922,1
Zonnehuis,Textile Collection,51.9247228,4.3501178,"Het Zonnehuis, 5, Dillenburgsingel, Statenbuurt, Vlaardingen, South Holland, Netherlands, 3136 EA, Netherlands",0,0.0,Zonnehuis,1037.35,129.66875,209.0,26.125,Zonnehuis,0.2101313320825516,1.0,1.0,0
OBS Klimop Vlaardingen,Textile Collection,51.9262619,4.3511146,"1, Stadhouderslaan, Statenbuurt, Vlaardingen, South Holland, Netherlands, 3136 BK, Netherlands",OBS Klimop Vlaardingen,250.0,OBS Klimop Vlaardingen,9414.85,122.27077922077923,1997.0,25.935064935064936,OBS Klimop Vlaardingen,2.0225140712945593,1.0,0.48908311688311695,1
ISN Eyup Sultan Vlaardingen,Textile Collection,51.9068053,4.3468699,"Eyüp Sultan Moskee, Hendrik Kikkertplaats, Nieuw Sluis, Vlaardingen, South Holland, Netherlands, 3134 NM, Netherlands",ISN Eyup Sultan Vlaardingen,500.0,ISN Eyup Sultan Vlaardingen,7159.6,94.20526315789475,1565.0,20.592105263157894,ISN Eyup Sultan Vlaardingen,1.9962476547842403,1.0,0.1884105263157895,2
Obs De Singel Vlaardingen,Textile Collection,51.9346395,4.3366659,"1, Muskuskruid, Kruidenbuurt, Vlaardingen, South Holland, Netherlands, 3137 WH, Netherlands",Obs De Singel Vlaardingen,250.0,Obs De Singel Vlaardingen,6749.35,87.6538961038961,1416.0,18.38961038961039,Obs De Singel Vlaardingen,2.0225140712945593,1.0,0.3506155844155844,1
Stichting Ummet Vlaardingen,Textile Collection,51.9102603,4.349737,"71, Emmastraat, Oostwijk, Vlaardingen, South Holland, Netherlands, 3134 CH, Netherlands",Stichting Ummet Vlaardingen,250.0,Stichting Ummet Vlaardingen,9912.32,127.08102564102563,2090.0,26.794871794871796,Stichting Ummet Vlaardingen,2.048780487804878,1.0,0.5083241025641025,1
Sint Jozefschool,Textile Collection,52.2141985,4.9314988,"De Sint Jozefschool, 1, Tuinderslaantje, Dorp, Achterbos, Vinkeveen, De Ronde Venen, Utrecht, Netherlands, 3645 EX, Netherlands",0,0.0,Sint Jozefschool,6171.9,89.44782608695651,1123.0,15.816901408450704,Sint Jozefschool,1.8386491557223266,1.0,1.0,0
OBS De Tiende Penning,Textile Collection,51.8783314,4.1783254,"'t Dijckhuis, Dijckpotingen, Vierpolders, Voorne aan Zee, South Holland, Netherlands, 3237 AK, Netherlands",OBS De Tiende Penning,250.0,OBS De Tiende Penning,4076.65,59.08188405797102,886.0,12.47887323943662,OBS De Tiende Penning,1.8386491557223266,1.0,0.23632753623188407,1
ISN Veghel Selimiye,Textile Collection,51.6080659,5.5462679,"5, Evertsenstraat, Leest, Doornhoek, Veghel, Meierijstad, North Brabant, Netherlands, 5463 HM, Netherlands",ISN Veghel Selimiye,750.0,ISN Veghel Selimiye,16035.08,421.9757894736842,3117.0,79.92307692307692,ISN Veghel Selimiye,1.0112570356472796,1.0,0.5626343859649122,3
ISN Ihlas Veenendaal,Textile Collection,52.0257754,5.5668935,"Íhlas Camíí, Pollux, Veenendaal, Utrecht, Netherlands, 3902 TA, Netherlands",ISN Ihlas Veenendaal,500.0,ISN Ihlas Veenendaal,5951.27,330.62611111111113,1099.0,57.8421052631579,ISN Ihlas Veenendaal,0.4859287054409006,1.0,0.6612522222222222,2
Van Asch van Wijckschool,Textile Collection,52.0962472,5.091217,"Van Asch van Wijckschool, 85, Louis Couperusstraat, Lombok, Utrecht, Netherlands, 3532 CX, Netherlands",Van Asch van Wijckschool,250.0,Van Asch van Wijckschool,11750.72,154.61473684210526,2260.0,29.350649350649352,Van Asch van Wijckschool,2.0093808630393997,1.0,0.618458947368421,1
Mili Gorus Utrecht,Textile Collection,52.1042329,5.0977219,"Mili Görüş Utrecht Mescid-i Aksa, 18, Royaards van den Hamkade, Ondiep, Utrecht, Netherlands, 3552 CM, Netherlands",Mili Gorus Utrecht,250.0,Mili Gorus Utrecht,11902.82,156.61605263157895,1987.0,26.144736842105264,Mili Gorus Utrecht,1.9962476547842403,1.0,0.6264642105263158,1
Wawollie Utrecht,Textile Collection,52.1242478,5.0411309,"59, Maarssenbroeksedijk, Lage Weide, Utrecht, Netherlands, 3542 DM, Netherlands",0,0.0,Wawollie Utrecht,52413.78,663.4655696202532,10028.0,125.35,Wawollie Utrecht,2.0881801125703565,1.0,1.0,0
Emmaus Overvecht,Textile Collection,52.1145731,5.1094122,"201, Gloriantdreef, Winkelcentrum Overvecht, Utrecht, Netherlands, 3562 KW, Netherlands",0,0.0,Emmaus Overvecht,101313.95,1315.7655844155843,19218.0,249.58441558441558,Emmaus Overvecht,2.0225140712945593,1.0,1.0,0
ISN Eyup Sultan Utrecht,Textile Collection,52.0758049,5.0944484,"Eyup Sultan, 3, Bernadottelaan, Kanaleneiland, Utrecht, Netherlands, 3527 GA, Netherlands",ISN Eyup Sultan Utrecht,750.0,ISN Eyup Sultan Utrecht,65796.59,435.7390066225165,11801.0,77.63815789473684,ISN Eyup Sultan Utrecht,3.979362101313321,1.0,0.5809853421633554,3
Stichting Milli Gorus Uden,Textile Collection,51.6619036,5.6266321,"Süleymaniye, President Kennedylaan, Uden, Maashorst, North Brabant, Netherlands, 5402 KB, Netherlands",0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
ISN Ahmet Yesevi Tiel,Textile Collection,51.8863989,5.4371692,"20, Koornmarkt, Sterrebos, Tiel, Gelderland, Netherlands, 4001 KW, Netherlands",ISN Ahmet Yesevi Tiel,500.0,ISN Ahmet Yesevi Tiel,3338.4,196.3764705882353,623.0,36.64705882352941,ISN Ahmet Yesevi Tiel,0.4465290806754222,1.0,0.3927529411764706,2
Basisschool Stellegors,Textile Collection,51.8051817,4.0278072,"OBS Stellegors, Meidoornstraat, Stellendam, Goeree-Overflakkee, South Holland, Netherlands, 3251 CV, Netherlands",Basisschool Stellegors,250.0,Basisschool Stellegors,7016.22,96.11260273972603,1490.0,19.866666666666667,Basisschool Stellegors,1.9437148217636024,1.0,0.3844504109589041,1
