Service Point Name,Operations,Latitude,Longitude,Address
"Oostmeerlaan 132, 2652AE te Berkel en Rodenrijs",Textile Collection,52.00049,4.465797,"Oostmeerlaan 132, 2652 AE Berkel en Rodenrijs, Netherlands"
"Louis d'Orlaan 20, 2652LB te Berkel en Rodenrijs",Textile Collection,51.983732,4.450557,"Louis d'Orlaan 20, 2652 LB Berkel en Rodenrijs, Netherlands"
"van Naeldwijcklaan 67, 2651GM te Berkel en Rodenrijs",Textile Collection,51.999628,4.484971,"Van Naeldwijcklaan 67, 2651 GM Berkel en Rodenrijs, Netherlands"
Spijkenisse Scouts,Textile Collection,51.858329,4.334249,"Tennispad 2, 3202 LP Spijkenisse, Netherlands"
"Carry van Bruggenplantsoen 4, 2652KB te Berkel en Rodenrijs",Textile Collection,51.990506,4.464628,"Carry van Bruggenplantsoen 6, 2652 KB Berkel en Rodenrijs, Netherlands"
"Burgemeester Gründemannstraat 1, 2651EB te Berkel en Rodenrijs",Textile Collection,51.99446,4.481715,"51.99446, 4.481715"
"Weteringsingel 6, 2921BB te Krimpen aan den IJssel",Textile Collection,51.913719,4.582867,"6, Weteringsingel, Krimpen aan den IJssel, South Holland, Netherlands, 2921 BB, Netherlands"
"De Vaert 2, 2651EP te Berkel en Rodenrijs",Textile Collection,51.995841,4.480096,"2, De Vaert, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 EP, Netherlands"
Scoutinggroep The Rangers Rotterdam,Textile Collection,51.884403,4.506416,"51.884403, 4.506416"
Spullenhulp Soest,Textile Collection,52.181193,5.309209,"52.181193, 5.309209"
Terre des Hommes Den Bosch,Textile Collection,51.686402,5.29892,"51.686402, 5.29892"
Terre des Hommes Deventer,Textile Collection,52.259511,6.148249,"52.259511, 6.148249"
Terre des Hommes Nijmegen,Textile Collection,51.846977,5.861527,"51.846977, 5.861527"
Terre des Hommes Eindhoven,Textile Collection,51.425762,5.489521,"51.425762, 5.489521"
Terre des Hommes Hoofddorp,Textile Collection,52.303758,4.692036,"52.303758, 4.692036"
"Groene Loper 9, 2665VK te Bleiswijk",Textile Collection,52.008832,4.533564,"52.008832, 4.533564"
"Weegbreeplantsoen 11, 2651MA te BERKEL EN RODENRIJS",Textile Collection,51.991275,4.465943,"51.991275, 4.465943"
Quist Schoenen & Outdoor Numansdorp,Textile Collection,51.726839,4.437475,"51.726839, 4.437475"
"Haverveld 64, 2661VC te Bergschenhoek",Textile Collection,51.989399,4.492426,"51.989399, 4.492426"
"Weegbreeplantsoen 9, 2651MA te Berkel en Rodenrijs",Textile Collection,51.9908,4.358606,"51.9908, 4.358606"
"Fluitekruid 3, 2661JB te Bergschenhoek",Textile Collection,51.985507,4.503857,"51.985507, 4.503857"
"Zuidersingel 26, 2651AJ te Berkel En Rodenrijs",Textile Collection,51.97449,4.452043,"51.97449, 4.452043"
"Oostmeerlaan 144, 2652AE te Berkel en Rodenrijs",Textile Collection,52.000653,4.466193,"52.000653, 4.466193"
Terre des Hommes Velp,Textile Collection,51.995761,5.972784,"51.995761, 5.972784"
"Maasstraat 15, 2652DD te Berkel en Rodenrijs",Textile Collection,52.000341,4.468702,"52.000341, 4.468702"
Kayori Nijmegen,Textile Collection,51.831437,5.856871,"51.831437, 5.856871"
"Castor 60, 2651GW te Berkel en Rodenrijs",Textile Collection,52.003584,4.485655,"52.003584, 4.485655"
Terre des Hommes Arnhem,Textile Collection,51.987191,5.914272,"51.987191, 5.914272"
Droppie - Recyclewinkel,Textile Collection,52.384312,4.875427,"52.384312, 4.875427"
Uitzendbureau Wanted,Textile Collection,51.851559,4.304317,"51.851559, 4.304317"
"Jan Lutmastraat 26, 2871WR te Schoonhoven",Textile Collection,51.9532275,4.8467685,"26, Jan Lutmastraat, Schoonhoven, Krimpenerwaard, South Holland, Netherlands, 2871 WR, Netherlands"
Terres des Hommes Pijnacker,Textile Collection,52.0178403,4.4349961,"1, van Brachtstraat, Pijnacker, Pijnacker-Nootdorp, South Holland, Netherlands, 2641 HG, Netherlands"
Workman - Dupal,Textile Collection,51.6935407,5.0493258,"9, Havenweg, Haven, Waalwijk, North Brabant, Netherlands, 5145 NJ, Netherlands"
"Willem Duysplaats 26, 2652NE te Berkel en Rodenrijs",Textile Collection,51.9937116,4.4583835,"26, Willem Duysplaats, Gouden Harp, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 NE, Netherlands"
"Loodsmandreef 28, 2661SW te Bergschenhoek",Textile Collection,51.9939811,4.5036567,"40, Loodsmandreef, Oosteindsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 SW, Netherlands"
"Andrea Domburgsingel 19, 2651ZJ te Berkel en Rodenrijs",Textile Collection,51.983833,4.4533514,"19, Andrea Domburgsingel, Gouden Podium, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 ZJ, Netherlands"
"Adelaarsvaren 77, 2661PD te Bergschenhoek",Textile Collection,51.9936791,4.4979014,"77, Adelaarsvaren, Bergsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 PD, Netherlands"
RET Krimpen a/d IJssel,Textile Collection,51.9061311,4.5774226,"4, Industrieweg, Stormpolder, Krimpen aan den IJssel, South Holland, Netherlands, 2921 LB, Netherlands"
RET Waalhaven,Textile Collection,51.8695232,4.4477931,"651, Schulpweg, RET remise Waalhaven, Charlois, Rotterdam, South Holland, Netherlands, 3088 NA, Netherlands"
RET Sluisjesdijk,Textile Collection,51.8938142,4.4610919,"Waalhaven Noordzijde, Charlois, Rotterdam, South Holland, Netherlands, 3087 AH, Netherlands"
"Vogelwikke 6, 2661JE te Bergschenhoek",Textile Collection,51.9853507,4.5052169,"6, Vogelwikke, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 JE, Netherlands"
"Irispark 59, 2651PS te Berkel en Rodenrijs",Textile Collection,51.9802385,4.4633319,"59, Irispark, Bloemenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 PS, Netherlands"
"Zilvergracht 4, 2652KE te Berkel en Rodenrijs",Textile Collection,51.98982,4.4623385,"4, Zilvergracht, Gouden Uil, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 KE, Netherlands"
"Langeveldstraat 10, 2651GD te Berkel en Rodenrijs",Textile Collection,51.9978693,4.4858719,"10, Langeveldstraat, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 GD, Netherlands"
