Date,Operation,Service Point,Material,Actual Amount (Item),Item UOM
2024-01-03 00:00:00,Textile Collection,Islamitisch Centrum Yildiz Schiedam,Bag Weight,344.17,kg
2024-01-03 00:00:00,Textile Collection,ISN Ahmet Yesevi Oosterhout,Bag Weight,332.1,kg
2024-01-03 00:00:00,Textile Collection,ISN Eyup Sultan Hellevoetsluis,Bag Weight,42.24,kg
2024-01-03 00:00:00,Textile Collection,ISN Eyup Sultan Vlaardingen,Bag Weight,118.82,kg
2024-01-03 00:00:00,Textile Collection,ISN Haci Bayram Veli Drunen,Bag Weight,168.6,kg
2024-01-03 00:00:00,Textile Collection,ISN Mescid-i Kuba Best,Bag Weight,102.18,kg
2024-01-03 00:00:00,Textile Collection,ISN Mevlana Hilversum,Bag Weight,61.22,kg
2024-01-03 00:00:00,Textile Collection,ISN Orhan Gazi 's-Hertogenbosch,Bag Weight,61.31,kg
2024-01-03 00:00:00,Textile Collection,ISN Ulu Bergen op zoom,Bag Weight,380.2,kg
2024-01-03 00:00:00,Textile Collection,ISN Veghel Selimiye,Bag Weight,229.91,kg
2024-01-03 00:00:00,Textile Collection,ISN Yeni Maassluis,Bag Weight,114.72,kg
2024-01-03 00:00:00,Textile Collection,Kerk Stellendam,Bag Weight,229.33,kg
2024-01-03 00:00:00,Textile Collection,Kindcentrum de Ark | Baarnhoeve,Bag Weight,32.78,kg
2024-01-03 00:00:00,Textile Collection,Kindcentrum de Ark |Lissabonweg,Bag Weight,36.88,kg
2024-01-03 00:00:00,Textile Collection,Koningin Wilhelmina school,Bag Weight,0.0,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Albert Plesmanstraat 4,Bag Weight,328.57,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Bergambachterstraat 9,Bag Weight,166.48,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Breeweer 1,Bag Weight,72.52,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Burgemeester Neetstraat 1,Bag Weight,207.88,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Cellebroedersstraat 33,Bag Weight,416.19,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Dijklaan 15,Bag Weight,55.47,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Doelenplein 5,Bag Weight,227.81,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Geerlaan 1,Bag Weight,67.68,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Gerard Doustraat 1,Bag Weight,149.33,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Groenland 37,Bag Weight,136.53,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Johan Brouckplein 1,Bag Weight,232.05,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Julianaplein 4,Bag Weight,39.43,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kerkplein 4,Bag Weight,100.76,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kerkweg 1,Bag Weight,101.52,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kivietslaan,Bag Weight,352.91,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kleine haven 11,Bag Weight,217.55,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Koningin Julianastraat 77,Bag Weight,179.2,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Meidoornstraat 84,Bag Weight,59.73,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Milieustraat Veerweg,Bag Weight,277.33,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Pleinstraat 9,Bag Weight,226.13,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Potgieterstraat 1,Bag Weight,106.67,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Rozenlaan 1,Bag Weight,91.85,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Vlierstraat 16,Bag Weight,100.76,kg
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Weidelaan 1,Bag Weight,89.6,kg
2024-01-03 00:00:00,Textile Collection,Kringloop Maasdijk,Bag Weight,49.17,kg
2024-01-03 00:00:00,Textile Collection,Kringloop Zeeland Serooskerke,Bag Weight,144.84,kg
2024-01-03 00:00:00,Textile Collection,MGR Bekkerschool Spijkenisse,Bag Weight,241.4,kg
2024-01-03 00:00:00,Textile Collection,Moskee Arrahma Den Bosch,Bag Weight,183.93,kg
2024-01-03 00:00:00,Textile Collection,Moskee en Nour,Bag Weight,127.55,kg
2024-01-03 00:00:00,Textile Collection,Obs De Singel Vlaardingen,Bag Weight,57.36,kg
2024-01-03 00:00:00,Textile Collection,OBS De Tiende Penning,Bag Weight,12.07,kg
2024-01-03 00:00:00,Textile Collection,OBS Die Heenetrecht,Bag Weight,18.1,kg
2024-01-03 00:00:00,Textile Collection,OBS Klimop Vlaardingen,Bag Weight,49.17,kg
2024-01-03 00:00:00,Textile Collection,OKC de Reiger,Bag Weight,48.28,kg
2024-01-03 00:00:00,Textile Collection,Omnisschool de Meidoorn,Bag Weight,30.17,kg
2024-01-03 00:00:00,Textile Collection,Reinis - Milieustraat Mosterweg,Bag Weight,2097.26,kg
2024-01-03 00:00:00,Textile Collection,Retourette/AH Schiedam,Bag Weight,303.19,kg
2024-01-03 00:00:00,Textile Collection,Samenwerkingsschool De Pelikaan,Bag Weight,24.17,kg
2024-01-03 00:00:00,Textile Collection,School met de Bijbel,Bag Weight,12.07,kg
2024-01-03 00:00:00,Textile Collection,Stichting Masjid El Fath,Bag Weight,147.96,kg
2024-01-03 00:00:00,Textile Collection,Stichting Turkse Gemeenschap Mevlana Eindhoven,Bag Weight,76.64,kg
2024-01-03 00:00:00,Textile Collection,Stichting Ummet Vlaardingen,Bag Weight,61.46,kg
2024-01-03 00:00:00,Textile Collection,Stichting Vluchtelingkinderen Driebergen,Bag Weight,841.84,kg
2024-01-03 00:00:00,Textile Collection,Van Dijckschool,Bag Weight,66.33,kg
2024-01-03 00:00:00,Textile Collection,Vereniging N.T.O. Spijkenisse,Bag Weight,90.52,kg
2024-01-03 00:00:00,Textile Collection,Verkoopschuur Grijpskerke Kringloop,Bag Weight,482.79,kg
2024-01-03 00:00:00,Textile Collection,Willem Farelschool,Bag Weight,0.0,kg
2024-01-04 00:00:00,Textile Collection,Basisschool Montessori Delft,Bag Number,7.0,pcs
2024-01-04 00:00:00,Textile Collection,BSO Blauwe Lijn,Bag Number,16.0,pcs
2024-01-04 00:00:00,Textile Collection,De Fontein,Bag Number,3.0,pcs
2024-01-04 00:00:00,Textile Collection,Drielinden,Bag Number,5.0,pcs
2024-01-04 00:00:00,Textile Collection,Fridtjof Nansen,Bag Number,10.0,pcs
2024-01-04 00:00:00,Textile Collection,Gereformeerde Kerk Woubrugge,Bag Number,41.0,pcs
2024-01-04 00:00:00,Textile Collection,Goede Herderkerk,Bag Number,20.0,pcs
2024-01-04 00:00:00,Textile Collection,IKC Kleurrijk,Bag Number,16.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Ahi Evran Den Haag,Bag Number,32.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Emir Sultan Amsterdam,Bag Number,20.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Haci Bayram Amsterdam,Bag Number,52.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Kocatepe Rotterdam,Bag Number,60.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Laleli Rotterdam,Bag Number,40.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Mevlana Rotterdam,Bag Number,47.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Oranje Kultur Merkezi Zoetermeer,Bag Number,30.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Sultan Ahmet Delft,Bag Number,3.0,pcs
2024-01-04 00:00:00,Textile Collection,ISN Ulu Zwolle,Bag Number,5.0,pcs
2024-01-04 00:00:00,Textile Collection,Koos Meindersschool,Bag Number,6.0,pcs
2024-01-04 00:00:00,Textile Collection,Kringloopcentrum Zuidoost,Bag Number,55.0,pcs
2024-01-04 00:00:00,Textile Collection,Moskee Ar-Rahman,Bag Number,32.0,pcs
2024-01-04 00:00:00,Textile Collection,Moskee Ayasofya milli gorus Amsterdam,Bag Number,26.0,pcs
2024-01-04 00:00:00,Textile Collection,Moskee Eyup Sultan Amsterdam,Bag Number,7.0,pcs
2024-01-04 00:00:00,Textile Collection,Nutsbasisschool Boldingh,Bag Number,10.0,pcs
2024-01-04 00:00:00,Textile Collection,OG Heldringschool,Bag Number,10.0,pcs
2024-01-04 00:00:00,Textile Collection,Schildershoeve,Bag Number,0.0,pcs
2024-01-04 00:00:00,Textile Collection,Sint Jozefschool,Bag Number,16.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Birlik Rotterdam,Bag Number,60.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Huis van de wijk De Nieuwe Nachtegaal,Bag Number,16.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Islamic Relief Nederland,Bag Number,13.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Islamitisch Centrum Nieuw West - Slotermeer,Bag Number,11.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Kumbet Amsterdam,Bag Number,0.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Mescidi Ravza Rotterdam,Bag Number,7.0,pcs
2024-01-04 00:00:00,Textile Collection,Stichting Regenboog Amsterdam,Bag Number,15.0,pcs
2024-01-04 00:00:00,Textile Collection,SWS De Wereldweide,Bag Number,8.0,pcs
2024-01-04 00:00:00,Textile Collection,t Waaygat,Bag Number,0.0,pcs
2024-01-04 00:00:00,Textile Collection,Tamarschool,Bag Number,20.0,pcs
2024-01-04 00:00:00,Textile Collection,Terres des Hommes,Bag Number,30.0,pcs
2024-01-04 00:00:00,Textile Collection,Widar,Bag Number,7.0,pcs
2024-01-04 00:00:00,Textile Collection,Basisschool Montessori Delft,Bag Weight,39.14,kg
2024-01-04 00:00:00,Textile Collection,BSO Blauwe Lijn,Bag Weight,83.4,kg
2024-01-04 00:00:00,Textile Collection,De Fontein,Bag Weight,15.64,kg
